trial_num,site,fish,entr_time,exit_time,init_fish_ct,fin_fish_ct,avg_fish_ct,time_in,bites,bite_rate
1,E,C.striatus,0:07:11,0:07:39,18,15,16.5,28,11,0.392857143
1,E,Z.scopas,0:07:32,0:08:19,15,12,13.5,47,30,0.638297872
1,E,C.striatus,0:07:11,0:07:16,18,16,17,5,4,0.8
1,E,Z.scopas,0:07:56,0:08:32,12,10,11,36,16,0.444444444
1,E,A.nigrofuscus,0:07:11,0:07:34,18,15,16.5,23,16,0.695652174
1,E,C.sordidus,0:07:11,0:07:43,18,10,14,32,17,0.53125
2,W,C.striatus,0:13:11,0:14:42,9,2,5.5,91,53,0.582417582
2,W,C.striatus,0:13:11,0:14:25,9,4,6.5,74,47,0.635135135
2,W,C.striatus,0:13:11,0:13:46,9,9,9,35,20,0.571428571
2,W,C.striatus,0:13:11,0:13:18,9,8,8.5,7,3,0.428571429
2,W,C.striatus,0:13:11,0:14:42,9,2,5.5,91,53,0.582417582
2,W,C.striatus,0:13:11,0:13:45,9,9,9,34,28,0.823529412
2,W,A.nigrofuscus,0:25:10,0:25:24,2,4,3,14,11,0.785714286
2,W,C.striatus,0:25:10,0:25:14,2,5,3.5,4,2,0.5
2,W,C.striatus,0:25:16,0:25:35,3,1,2,19,15,0.789473684
2,W,C.striatus,0:25:10,0:25:26,2,4,3,16,14,0.875
3,W,A. nigrofuscus,0:07:11,0:07:16,1,1,1,5,2,0.4
3,W,A. nigrofuscus,0:07:21,0:07:45,2,4,3,24,7,0.291666667
4,E,C.sordidus,0:25:10,0:26:17,15,9,12,67,60,0.895522388
4,E,C.sordidus,0:25:10,0:26:15,15,18,16.5,65,56,0.861538462
4,E,C.striatus,0:25:10,0:25:26,15,16,15.5,16,12,0.75
4,E,Z.scopas,0:25:10,0:25:18,15,16,15.5,8,7,0.875
4,E,Z.scopas,0:25:14,0:26:20,16,7,11.5,66,37,0.560606061
4,E,C.sordidus,0:25:10,0:26:16,15,17,16,66,48,0.727272727
4,E,C.sordidus,0:25:12,0:26:53,14,3,8.5,101,64,0.633663366
4,E,C.sordidus,0:25:10,0:26:02,15,15,15,52,32,0.615384615
4,E,C.sordidus,0:25:10,0:26:01,15,18,16.5,51,62,1.215686275
4,E,C.striatus,0:26:01,0:26:17,15,9,12,16,18,1.125
4,E,C.striatus,0:25:21,0:25:51,16,18,17,30,18,0.6
5,W,C.striatus,0:01:11,0:01:20,3,3,3,9,5,0.555555556
5,W,C.striatus,0:01:18,0:01:48,1,6,3.5,30,22,0.733333333
5,W,C.striatus,0:01:11,0:01:41,3,7,5,30,14,0.466666667
5,W,C.striatus,0:01:24,0:01:47,4,6,5,23,5,0.217391304
5,W,C.striatus,0:01:30,0:01:53,5,2,3.5,23,19,0.826086957
5,W,C.striatus,0:01:32,0:01:44,5,6,5.5,12,6,0.5
5,W,C.striatus,0:01:31,0:01:48,5,6,5.5,17,10,0.588235294
5,W,C.striatus,0:01:54,0:02:41,2,4,3,47,33,0.70212766
6,E,C.striatus,0:06:24,0:06:46,1,4,2.5,22,14,0.636363636
6,E,C.striatus,0:06:24,0:06:55,1,2,1.5,31,18,0.580645161
6,E,C.striatus,0:06:25,0:06:43,2,4,3,18,7,0.388888889
6,E,C.striatus,0:06:28,0:06:49,3,5,4,21,16,0.761904762
7,W,Z.scopas,0:12:18,0:12:44,6,3,4.5,26,19,0.730769231
7,W,Z.scopas,0:12:21,0:12:43,6,5,5.5,22,9,0.409090909
7,W,Z.scopas,0:12:50,0:13:15,1,4,2.5,25,3,0.12
7,W,Z.scopas,0:12:57,0:13:44,5,5,5,47,27,0.574468085
7,W,C.striatus,0:12:18,0:12:34,6,6,6,16,10,0.625
7,W,C.striatus,0:12:18,0:12:46,6,1,3.5,28,21,0.75
7,W,C.striatus,0:12:18,0:12:43,6,4,5,25,15,0.6
7,W,C.striatus,0:12:18,0:12:43,6,4,5,25,13,0.52
7,W,C.striatus,0:12:47,0:13:58,1,2,1.5,71,44,0.61971831
